Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0A9mHc7oYUoCECqByV8cQR,"Animals","Animals","Martin Garrix",2013-06-17,304228,71,false,joeynoord,2025-11-10T19:30:36Z,"edm,progressive house,electronica","STMPD RCRDS",0.675,0.868,1,-6.36,1,0.0392,0.00107,0.715,0.374,0.0376,128.007,4
spotify:track:2MdohxuwIfNPtEdknrsv7z,"Tranquilo","Tranquilo","Jan Smit",2025-06-06,200520,63,false,joeynoord,2025-11-10T19:34:49Z,"hollands,nederpop","CTM Vosound",0.795,0.928,2,-2.697,1,0.0535,0.026,0,0.343,0.934,124.967,4
spotify:track:0OFLK8St1n4C9smb4s7CKX,"Smoorverliefd","De Jonge Jaren van Doe Maar - 50 jaar Nederpop","Doe Maar",2008-01-01,197626,50,false,joeynoord,2025-11-10T19:35:04Z,"nederpop,hollands","Telstar",0.692,0.752,9,-9.551,0,0.0974,0.134,0,0.122,0.915,166.658,4
spotify:track:1I8tHoNBFTuoJAlh4hfVVE,"Firestone","Cloud Nine","Kygo;Conrad Sewell",2016-05-13,271640,77,false,joeynoord,2025-11-10T19:35:58Z,"tropical house","Kygo",0.704,0.634,11,-7.374,0,0.0428,0.393,0.0000317,0.0952,0.411,113.927,4
spotify:track:5UqCQaDshqbIk3pkhy4Pjg,"Levels - Radio Edit","Levels","Avicii",2011-10-28,199906,75,false,joeynoord,2025-11-10T19:36:13Z,"edm","Pophouse Entertainment Group",0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,4
spotify:track:0MyNXZdQ21ym6EgLwNSdKn,"Paradise","Paradise","VIZE;Joker Bra;Leony",2020-08-21,156000,28,false,joeynoord,2025-11-10T19:37:28Z,"slaphouse,duitse hiphop","Armada BNL",0.883,0.725,6,-4.049,1,0.046,0.0668,0,0.0389,0.906,129.995,4
spotify:track:4lBkLeU6LNgWzfbWPGm1c9,"Leef","Leef","André Hazes Jr.",2016-03-11,217902,54,false,joeynoord,2025-11-10T19:38:09Z,"hollands,nederpop","Dino Music, a label and trademark of 8ball Music BV",0.673,0.727,9,-6.587,0,0.0401,0.282,0,0.178,0.782,121.016,4
spotify:track:1C4og9YwQUnT95FXoWs9ro,"Rampeneren","Petje Af","Ali B;The Partysquad;Yes-R",2012-04-23,227413,0,false,joeynoord,2025-11-10T19:38:14Z,"nederpop,hollands,moombahton","Spec Music",0.967,0.582,11,-8.521,0,0.0784,0.0517,0,0.0329,0.903,125.066,4
spotify:track:1riPE3NCV1OBmSXqpYiMJY,"Energie","Rémi","Ronnie Flex;Frenna",2017-06-30,165534,60,false,joeynoord,2025-11-10T20:02:21Z,"nederpop","Top Notch Music BV",0.848,0.598,11,-7.087,1,0.214,0.102,0,0.151,0.678,100.001,4
spotify:track:25brT5xsqdKuoZqvz3Ubrn,"Oya Lélé","Oya lélé","K3",2003-01-01,224946,58,false,joeynoord,2025-11-10T19:38:20Z,"kindermuziek","Studio 100",0.669,0.905,2,-6.014,1,0.056,0.00471,0,0.321,0.885,135.036,4
